Issue Type,Key,Epic Link,Journey,Wave,Summary,Description,Acceptance Criteria,Personas,Modules,Priority,T-Shirt,Depends On,Flags
"Story","J6-E4-S2","J6-E4","J6 Govern & Administer","2","Everything downstream is reversed","As a Sports Secretary, I want a correction to undo everything the lock produced, so that the record stays consistent.","When a locked result is unlocked
Then the standings contribution is reversed by full recomputation of the affected scope
And lifetime entries and achievements derived from it are superseded
And certificates issued from that lock version are revoked
And all of it happens in one transaction","Championship Organiser, Sports Secretary","06, 03","P0","","",""
"Story","J6-E4-S3","J6-E4","J6 Govern & Administer","2","Re-lock the corrected result","As a Championship Organiser, I want to lock the corrected scorecard, so that the amended result becomes official.","When I lock it again
Then the lock version increments
And downstream artefacts are regenerated against the new version
And replacement certificates are queued","Championship Organiser, Sports Secretary","06, 03","P0","","",""
"Story","J6-E4-S4","J6-E4","J6 Govern & Administer","2","Corrections are visible, not hidden","As a Player, I want to see that a result was amended, so that the record is honest rather than quietly rewritten.","Given a result has been corrected
Then it shows an amendment notice with the date wherever it appears, including the public page
And a revoked certificate's verification page explains it was superseded","Championship Organiser, Sports Secretary","06, 03","P0","","",""
"Story","J6-E4-S5","J6-E4","J6 Govern & Administer","2","Scoring and locking are separate authorities","As a Sports Secretary, I want the person who scores not to be the person who locks, so that locking is a review rather than a rubber stamp.","Given an official has submitted a scorecard
Then locking requires the lock permission, which officials do not hold by default
And correcting a locked result requires a further, separately grantable permission","Championship Organiser, Sports Secretary","06, 03","P0","","",""
"Epic","J1-E5","","J1 Institution Onboarding","3","Bulk-import the student roll","2,000 students in one upload, with a real validation report.","","Sports Secretary, Faculty Coordinator","04a","P0","M","J1-E4",""
"Story","J1-E5-S1","J1-E5","J1 Institution Onboarding","3","Validate before importing","As a Faculty Coordinator, I want to check my spreadsheet before committing it, so that I fix problems rather than discovering them afterwards.","Given I upload a CSV or XLSX and map its columns
When I run validation
Then I get a per-row report of what will be created, matched or rejected
And nothing is written to the database
And rows naming a programme or batch that does not exist are rejected with a clear message
And no org unit is created implicitly

Given the file contains two rows with the same phone number
Then both are flagged as a duplicate pair in the report before import","Sports Secretary, Faculty Coordinator","04a","P0","","",""
"Story","J1-E5-S2","J1-E5","J1 Institution Onboarding","3","Import the roll","As a Faculty Coordinator, I want to commit the validated file, so that our students are in the directory.","Given a validated file
When I apply the import
Then each person is resolved by user id, then phone, then email, and only otherwise created
And each is added to my institution with their programme, batch and member code
And every imported person starts at verification='pending'
And the import is recorded in the audit trail with a row count
And re-running the same file makes no further changes","Sports Secretary, Faculty Coordinator","04a","P0","","",""
"Story","J1-E5-S3","J1-E5","J1 Institution Onboarding","3","Add one person","As a Faculty Coordinator, I want to add a single student, so that a late joiner doesn't require a spreadsheet.","When I add a person with name, email, phone, programme and batch
Then they are created or matched to an existing account by phone or email
And they start at verification='pending'
And their member code is unique within my institution","Sports Secretary, Faculty Coordinator","04a","P0","","",""
"Story","J1-E5-S4","J1-E5","J1 Institution Onboarding","3","Capture demographics and consent","As a Sports Secretary, I want demographic data collected with recorded consent, so that we can report on inclusion without holding anything we shouldn't.","Given a person is created by import or self-signup
Then the consent version in force is recorded against their account, with a timestamp
And date of birth, gender and scholarship status may be supplied
And ""prefer not to say"" is an available value for gender, stored as itself rather than as a null

Given demographic data has been collected
Then gender and scholarship status are never displayed against a named individual anywhere
And they do not appear in the people directory, on a profile, or in any export that names people
And non-disclosure is reported as its own category, never inferred or silently excluded","Sports Secretary, Faculty Coordinator","04a","P0","","",""
"Epic","J2-E5","","J2 Run a Championship","3","Score a match live","An official can record a match accurately as it happens, whatever shape that match takes.","","Official","09","P0","M","J2-E4",""
"Story","J2-E5-S1","J2-E5","J2 Run a Championship","3","Record a match","As an Official, I want to record scoring as the match runs, so that the result is captured accurately and spectators can follow.","Given I am the assigned official and the championship is ongoing
When I record scoring events
Then the live state and an append-only log persist as I go
And viewers of that championship see the updated score
And I can score single matches, multi-rubber ties, and multi-competitor events

Given the championship is still in draft or registration
Then scoring is refused with a clear message","Official","09","P0","","",""
"Story","J2-E5-S2","J2-E5","J2 Run a Championship","3","Record awards","As an Official, I want to record player-of-the-match and similar awards, so that individual performances are captured against the player.","When I record an award for a player
Then it is stored against the fixture and that player
And I choose from a catalogue of award types, with free text as a fallback","Official","09","P0","","",""
"Story","J2-E5-S3","J2-E5","J2 Run a Championship","3","Handle walkovers and byes","As an Official, I want to record a walkover or an unplayed match, so that the draw progresses correctly.","When I record a walkover
Then the winner advances and the fixture is marked accordingly
And standings treat it per the configured scheme","Official","09","P0","","",""
"Epic","J2-E6","","J2 Run a Championship","3","Watch the event as it happens","Anyone following the championship can see what is happening right now, in one place.","","Championship Organiser, Faculty Coordinator, Player","09","P0","M","J2-E5",""
"Story","J2-E6-S1","J2-E6","J2 Run a Championship","3","A live view of the whole championship","As a Championship Organiser, I want one screen showing every match in progress, so that I can run the day without opening matches one at a time.","Given matches are in progress
When I open the Live tab
Then I see a card per live fixture with sport, stage, venue, current score, elapsed time and assigned official
And the view refreshes automatically
And clicking a card opens the match console
And with no live matches I see an empty state listing what's next","Championship Organiser, Faculty Coordinator, Player","09","P0","","",""
"Story","J2-E6-S2","J2-E6","J2 Run a Championship","3","Elapsed match time","As a Player, I want to see how long a match has been running, so that a live score has context.","Given a fixture went live at a recorded time
Then the live view shows elapsed minutes since it started","Championship Organiser, Faculty Coordinator, Player","09","P0","","",""
"Story","J2-E6-S3","J2-E6","J2 Run a Championship","3","Standings update as results land","As a Championship Organiser, I want standings to recompute automatically, so that the table is right without me maintaining it.","When a result is recorded
Then standings recompute for the affected scopes
And knockout winners advance and byes propagate
And while any contributing result is unlocked the table is labelled Provisional","Championship Organiser, Faculty Coordinator, Player","09","P0","","",""
"Story","J2-E6-S4","J2-E6","J2 Run a Championship","3","Share the event publicly","As a Championship Organiser, I want a public link to the championship, so that people can follow without an account.","When I generate a share link
Then anyone with it sees overview, standings, fixtures and draws, read-only
And no personal contact details are exposed
And revoking the link stops access","Championship Organiser, Faculty Coordinator, Player","09","P0","","",""
"Epic","J3-E3","","J3 Enter & Compete","3","Enter a squad into competitions","A squad can be entered into the right draws, and reused across championships and seasons.","","Team Captain","09","P0","S","J3-E2, J2-E2",""
"Story","J3-E3-S1","J3-E3","J3 Enter & Compete","3","Enter a team into a draw","As a Team Captain, I want to enter my squad into a specific sport and discipline, so that we appear in the right draw.","Given my institution's enrolment in the championship is approved
When I enter my team into a draw
Then an entry is created linking the team to that championship and draw
And only one team per organisation may be entered into the same draw
And the same roster may be entered into several championships at once","Team Captain","09","P0","","",""
"Story","J3-E3-S2","J3-E3","J3 Enter & Compete","3","Reuse a roster across seasons","As a Team Captain, I want the same team to carry across championships, so that I'm not rebuilding the squad every time.","Given a team from last season
When I enter it into a new championship
Then its existing members carry over
And I can adjust the squad for this entry before locking it","Team Captain","09","P0","","",""
"Epic","J4-E2","","J4 The Verified Record","3","Lifetime participation timeline","Every player has a permanent, system-written timeline of verified results that survives them leaving the institution.","","Player, Sports Secretary","04b","P0","M","J4-E1",""
"Story","J4-E2-S1","J4-E2","J4 The Verified Record","3","A timeline built only from locked results","As a Player, I want a timeline of everything I've competed in, so that I have a complete record of my sporting career.","Then I see one entry per event with role, performance, date and any medal or honour chips
And entries appear only for locked results
And provisional results do not appear at all
And entries are ordered most recent first","Player, Sports Secretary","04b","P0","","",""
"Story","J4-E2-S2","J4-E2","J4 The Verified Record","3","Nobody can edit the timeline","As a Sports Secretary, I want the timeline to be system-written only, so that it is trustworthy as an institutional record.","Then no user interface offers editing or deleting a timeline entry
And no API endpoint permits it
And the only route to change one is a correction to the underlying result","Player, Sports Secretary","04b","P0","","",""
"Story","J4-E2-S3","J4-E2","J4 The Verified Record","3","The record survives leaving","As a Player, I want my record to persist after I graduate, so that it's still provable years later.","Given I am removed from my institution, or the institution is deleted
Then my lifetime entries remain intact and attributed to me
And they still name the organisation I represented at the time","Player, Sports Secretary","04b","P0","","",""
"Story","J4-E2-S4","J4-E2","J4 The Verified Record","3","An admin can view a player's profile","As a Faculty Coordinator, I want to open any of our players' profiles, so that I can answer questions about their record.","Given I hold people.view in an institution the player belongs to
Then I can open their profile from the directory
And I see the same timeline, statistics and credentials they see

Given I share no institution with that player
Then I cannot open their profile","Player, Sports Secretary","04b","P0","","",""
"Epic","J4-E4","","J4 The Verified Record","3","Achievements from verified results","Medals, placements and awards become typed, countable records rather than free text.","","Player, Sports Secretary","07a","P0","M","J4-E1",""
"Story","J4-E4-S1","J4-E4","J4 The Verified Record","3","Medals and placements are recorded","As a Player, I want medals recorded when I win, so that ""medals won"" is a real number.","When a final is locked
Then the winning squad receives gold and the runner-up silver
And a third-place playoff produces bronze
And elimination in an earlier knockout round produces a placement such as Semi-finalist
And a ranking event awards medals by finishing place
And team achievements fan out to each squad member as individual achievements","Player, Sports Secretary","07a","P0","","",""
"Story","J4-E4-S2","J4-E4","J4 The Verified Record","3","Award names are countable","As a Sports Secretary, I want awards drawn from a catalogue, so that ""MVP awards"" can be counted.","Given an official is recording an award
Then they choose from a catalogue such as Player of the Match, MVP, Top Scorer
And free text remains available as a fallback
And existing free-text awards are preserved without a type","Player, Sports Secretary","07a","P0","","",""
"Story","J4-E4-S3","J4-E4","J4 The Verified Record","3","Achievements only from locked results","As a Sports Secretary, I want achievements tied to verified results, so that the Hall of Fame is defensible.","Then an achievement exists only where its source result is locked
And each records the lock version it derived from
And unlocking supersedes the achievements it produced","Player, Sports Secretary","07a","P0","","",""
"Epic","J6-E2","","J6 Govern & Administer","3","Module access by audience","Whole modules can be switched on or off per audience, in one place.","","Sports Secretary","03","P0","S","J6-E1",""
"Story","J6-E2-S1","J6-E2","J6 Govern & Administer","3","Switch modules on and off per audience","As a Sports Secretary, I want to control which modules staff and students can reach, so that people only see what's relevant to them.","Then I see a grid of modules against the Staff and Students audiences
When I disable Reports for Students
Then students no longer see Reports in navigation
And a student calling a reports endpoint directly is refused
And staff are unaffected","Sports Secretary","03","P0","","",""
"Story","J6-E2-S2","J6-E2","J6 Govern & Administer","3","Disabled modules disappear rather than error","As a Student Coordinator, I want modules I can't use to be absent, so that I'm not clicking into dead ends.","Given a module is disabled for my audience
Then it does not appear in navigation at all
And a direct link shows a clear ""not available"" page rather than a raw error","Sports Secretary","03","P0","","",""
"Story","J6-E2-S3","J6-E2","J6 Govern & Administer","3","Module access gates permissions","As a Sports Secretary, I want a disabled module to override individual permissions, so that there's one place to switch something off.","Given a person holds a permission within a module that is disabled for their audience
Then that permission does not resolve
And enabling the module restores it without reassigning anything","Sports Secretary","03","P0","","",""
"Epic","J1-E6","","J1 Institution Onboarding","4","Verify players","""1,847 verified athletes"" becomes a defensible number.","","Faculty Coordinator, Student Coordinator","04a, 02","P0","S","J1-E5",""
"Story","J1-E6-S1","J1-E6","J1 Institution Onboarding","4","Browse the people directory","As a Faculty Coordinator, I want a searchable directory of our people, so that I can find anyone without going through teams.","Then I see name, member code, programme/batch, primary sport, event count and verification status
And I can filter by Verified, Pending, Rejected or All, each showing a live count
And I can search by name and combine it with the status filter
And clicking a row opens that person's profile","Faculty Coordinator, Student Coordinator","04a, 02","P0","","",""
"Story","J1-E6-S2","J1-E6","J1 Institution Onboarding","4","Verify and reject","As a Faculty Coordinator, I want to verify people individually or in bulk, so that 2,000 imported rows become a trusted roll.","When I verify a pending person
Then their status becomes verified, stamped with who verified it and when
And an audit entry is written
And they are notified

When I reject a person
Then I must supply a reason, which is stored and shown to them

Given I select many pending people
When I verify the selection in one action
Then each transition is applied and audited individually","Faculty Coordinator, Student Coordinator","04a, 02","P0","","",""
"Story","J1-E6-S3","J1-E6","J1 Institution Onboarding","4","Verification is per-institution","As a Sports Secretary, I want verification to mean ""verified by us"", so that another organisation's judgement is not inherited into our roll.","Given a person is verified by IIM Bangalore and is also a member of a city cricket club
Then they show as Verified in IIMB's directory
And their status in the club's directory is unaffected","Faculty Coordinator, Student Coordinator","04a, 02","P0","","",""
"Epic","J1-E7","","J1 Institution Onboarding","4","The workspace shell & daily command centre","Akash lands somewhere that tells him what needs doing today.","","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","L","J1-E1",""
"Story","J1-E7-S1","J1-E7","J1 Institution Onboarding","4","An institution workspace shell","As a Sports Secretary, I want a workspace that shows my institution's identity, so that it reads as ours rather than a generic tool.","Given I am an owner or admin of a verified institution
When I sign in
Then I land on the institution home, not a participant profile
And the sidebar shows our logo, name and a ""Sports Org · Verified"" badge
And navigation covers Home, People, Teams, Events, Discover, Achievements, Certificates, Reports, Administration
And the Events item carries a live count of matches in progress
And the top bar shows a breadcrumb, section title and my name and role","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Story","J1-E7-S2","J1-E7","J1 Institution Onboarding","4","Attention-first dashboard","As a Sports Secretary, I want to see what needs my attention, so that I start with decisions rather than navigation.","Then I see live KPIs: total players, active teams, upcoming events, awaiting approval, certificates pending, matches live now
And ""matches live now"" is visually accented when greater than zero
And I see a pending-actions queue, each item with a count and a one-tap CTA that deep-links into context
And an item appears only when its underlying capability exists","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Story","J1-E7-S3","J1-E7","J1 Institution Onboarding","4","Participation trend","As a Sports Secretary, I want to see participation across recent seasons, so that I can answer ""are we growing?"" without building a spreadsheet.","Then I see unique participants per season for the last six seasons
And a year-on-year delta against the previous season
And where there is no prior season, the delta shows ""no comparison available"" rather than a percentage","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Story","J1-E7-S4","J1-E7","J1 Institution Onboarding","4","Live and upcoming events","As a Faculty Coordinator, I want current and upcoming events on the home page, so that I can see what's running without hunting.","Then I see date, title, sport summary and a status chip of Live, Registration, Upcoming or Completed
And there is a link through to the full events list","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Story","J1-E7-S5","J1-E7","J1 Institution Onboarding","4","Sync confidence strip","As a Sports Secretary, I want to see how much data the workspace holds and when it last updated, so that I trust it as our system of record.","Then I see ""synced across N records · updated Xm ago"" with a real count from a cached aggregate
And if the aggregate is unavailable the strip is hidden entirely","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Story","J1-E7-S6","J1-E7","J1 Institution Onboarding","4","Configurable navigation","As a Sports Secretary, I want to merge or split navigation groupings, so that the workspace matches how we talk about our own operation.","Given I merge Events & Competitions into one item
Then the sidebar renders one item and both sets of pages remain reachable
And the same applies to Records & Achievements","Sports Secretary, Faculty Coordinator, Student Coordinator","01","P0","","",""
"Epic","J2-E8","","J2 Run a Championship","4","Operational status report","An organiser can see and export the operational state of the championship at a glance.","","Championship Organiser, Faculty Coordinator","08a","P1","S","J2-E7",""
"Story","J2-E8-S1","J2-E8","J2 Run a Championship","4","See operational status at a glance","As a Championship Organiser, I want a single operational view of the championship, so that I know what's done and what's outstanding.","Given I organise the championship
Then I see KPIs for registrations, approved, pending, matches played, medals awarded and certificates issued
And progress bars for registrations approved, fixtures scheduled, matches completed, results verified and certificates issued
And a needs-attention list of outstanding items with links into context
And the tab is visible only to the organising team
And figures are labelled as live, not final","Championship Organiser, Faculty Coordinator","08a","P1","","",""
"Story","J2-E8-S2","J2-E8","J2 Run a Championship","4","Export the status report","As a Faculty Coordinator, I want to export the status report, so that I can circulate it without giving people workspace access.","When I export it
Then a branded PDF or Excel file is produced server-side
And generation runs as a job rather than a synchronous request
And the export is recorded in the audit trail","Championship Organiser, Faculty Coordinator","08a","P1","","",""
"Epic","J4-E3","","J4 The Verified Record","4","Career statistics per sport","A player's career statistics are aggregated per sport from verified results, and stay correct after a correction.","","Player","04b","P0","M","J4-E2",""
"Story","J4-E3-S1","J4-E3","J4 The Verified Record","4","Statistics split by sport","As a Player, I want my statistics broken down by sport, so that they mean something.","Then I see appearances, wins, losses and draws per sport
And medals and awards per sport
And an overall summary across all sports
And only locked results contribute","Player","04b","P0","","",""
"Story","J4-E3-S2","J4-E3","J4 The Verified Record","4","Per-player match contributions","As a Player, I want goals and similar contributions counted, so that my statistics reflect what I actually did.","Given the scoring log attributed events to me
When the scorecard is locked
Then those events are projected into queryable per-player rows
And my statistics include sport-appropriate contributions such as goals or points","Player","04b","P0","","",""
"Story","J4-E3-S3","J4-E3","J4 The Verified Record","4","Statistics stay correct after a correction","As a Sports Secretary, I want statistics to reflect corrections, so that the numbers never drift from the results.","Given a locked result is corrected
Then affected career statistics are recomputed as part of that transaction
And not on a delayed schedule","Player","04b","P0","","",""
"Epic","J4-E5","","J4 The Verified Record","4","Claim an external achievement","Achievements earned outside the platform can be claimed and validated into the record.","","Player, Faculty Coordinator","07a","P1","M","J4-E4",""
"Story","J4-E5-S1","J4-E5","J4 The Verified Record","4","Submit a claim","As a Player, I want to claim an achievement earned outside the platform, so that my state selection is part of my record.","When I submit a claim with type, title, date, optional evidence link and a note
Then it is created as pending against my institution
And coordinators who can validate claims are notified
And it does not appear on my profile while pending","Player, Faculty Coordinator","07a","P1","","",""
"Story","J4-E5-S2","J4-E5","J4 The Verified Record","4","Validate a claim","As a Faculty Coordinator, I want to review claims before they enter the record, so that unverified assertions don't dilute it.","Given a pending claim
When I approve it
Then an achievement is created marked as a validated claim, distinguishable from a result-derived one
And the claimant is notified
And the decision is audited

When I reject it
Then I must supply a reason, which is shown to the claimant","Player, Faculty Coordinator","07a","P1","","",""
"Story","J4-E5-S3","J4-E5","J4 The Verified Record","4","Claims surface on the dashboard","As a Faculty Coordinator, I want pending claims in my attention queue, so that they don't sit unreviewed.","Then the institution dashboard shows a count of pending claims with a Validate action","Player, Faculty Coordinator","07a","P1","","",""
"Epic","J4-E6","","J4 The Verified Record","4","Certificate templates & branding","An institution can configure branded certificate templates it is willing to issue.","","Sports Secretary","07b","P0","M","J1-E1",""
"Story","J4-E6-S1","J4-E6","J4 The Verified Record","4","Choose from approved templates","As a Sports Secretary, I want a gallery of certificate templates, so that I can see what we can issue.","Then I see Winner, Runner-up, Participation and Special templates
And each shows how many certificates have been issued from it
And I can preview one rendered with sample data without issuing anything","Sports Secretary","07b","P0","","",""
"Story","J4-E6-S2","J4-E6","J4 The Verified Record","4","Apply our branding","As a Sports Secretary, I want our logo, colours and signatories on certificates, so that they are recognisably ours.","When I configure a template with our logo, background, colours and signatories
Then a preview reflects it immediately
And signature images are stored privately and served only through signed URLs","Sports Secretary","07b","P0","","",""
"Epic","J4-E9","","J4 The Verified Record","4","Organisation Hall of Fame","An institution has a presentable record of what it has won, built from verified achievements.","","Sports Secretary","07a","P1","M","J4-E4",""
"Story","J4-E9-S1","J4-E9","J4 The Verified Record","4","Institution achievements page","As a Sports Secretary, I want a page of our achievements, so that we can show what the institution has won.","Then I see medals won, records set, selections and a this-season figure
And team achievements and individual achievements as cards with photo, sport, name, achievement and year
And only verified achievements appear","Sports Secretary","07a","P1","","",""
"Story","J4-E9-S2","J4-E9","J4 The Verified Record","4","Achievement feed","As a Faculty Coordinator, I want a reverse-chronological feed of achievements, so that I can see what's happened recently.","Then I see verified wins, records, selections and honours newest first, with timestamps","Sports Secretary","07a","P1","","",""
"Story","J4-E9-S3","J4-E9","J4 The Verified Record","4","Shareable achievement cards","As a Sports Secretary, I want a branded image for an achievement, so that we can post it.","When I choose Share card
Then a branded image is generated with our logo and the achievement details
And I can download it","Sports Secretary","07a","P1","","",""
"Epic","J5-E1","","J5 Leadership Reporting","4","Participation report","Leadership can answer how many people played, in what, and whether that is growing.","","Sports Secretary, Faculty Coordinator","08b","P0","M","J1-E5, J2-E7",""
"Story","J5-E1-S1","J5-E1","J5 Leadership Reporting","4","Define our academic year","As a Sports Secretary, I want to set when our sporting year starts, so that year-on-year figures match how we actually report.","When I set our season to start in June
Then a championship belongs to the season containing its start date
And seasons are labelled in the form 2025-26
And every report and every export uses the same definition","Sports Secretary, Faculty Coordinator","08b","P0","","",""
"Story","J5-E1-S2","J5-E1","J5 Leadership Reporting","4","Headline participation figures","As a Sports Secretary, I want participation KPIs with year-on-year change, so that I can answer ""are we growing?"" in one sentence.","Given a selected season
Then I see unique participants, events held, matches played and medals won
And each shows the change against the previous season
And only locked results contribute to any figure
And where there is no previous season, the delta reads ""no comparison available"" rather than a percentage","Sports Secretary, Faculty Coordinator","08b","P0","","",""
"Story","J5-E1-S3","J5-E1","J5 Leadership Reporting","4","Participation by sport and by programme","As a Faculty Coordinator, I want participation broken down, so that I can see which sports and programmes are actually engaged.","Then I see unique participants per sport as a ranked breakdown
And unique participants per programme, using our structure tree
And a person who played three sports counts once in the total and once per sport
And people with no programme assigned are grouped as unassigned rather than dropped","Sports Secretary, Faculty Coordinator","08b","P0","","",""
"Story","J5-E1-S4","J5-E1","J5 Leadership Reporting","4","Six-season trend","As a Sports Secretary, I want a participation trend across recent seasons, so that the dashboard chart and the report agree.","Then I see unique participants per season for the last six seasons
And the figures are identical to those on the institution dashboard","Sports Secretary, Faculty Coordinator","08b","P0","","",""
"Epic","J5-E2","","J5 Leadership Reporting","4","Performance report","Leadership can see competitive performance, not just turnout.","","Sports Secretary, Faculty Coordinator","08b","P1","S","J4-E4",""
"Story","J5-E2-S1","J5-E2","J5 Leadership Reporting","4","Performance KPIs","As a Sports Secretary, I want our medal and win-rate figures, so that I can report competitive performance, not just turnout.","Then I see total medals, win rate, records set and selections, each with a season-on-season delta
And medals come from recorded achievements rather than being recomputed from fixtures
And win rate counts only locked results","Sports Secretary, Faculty Coordinator","08b","P1","","",""
"Story","J5-E2-S2","J5-E2","J5 Leadership Reporting","4","Medals by sport","As a Faculty Coordinator, I want medals broken down by sport, so that I can see where we're strong.","Then I see gold, silver and bronze counts per sport
And a total per sport","Sports Secretary, Faculty Coordinator","08b","P1","","",""
"Story","J5-E2-S3","J5-E2","J5 Leadership Reporting","4","Top performers","As a Sports Secretary, I want a list of our standout athletes, so that I can recognise them.","Then I see players ranked by medals and awards for the season
And awards are counted using the award-type catalogue, not raw free text
And each name links to that player's profile","Sports Secretary, Faculty Coordinator","08b","P1","","",""
"Epic","J5-E3","","J5 Leadership Reporting","4","Diversity & inclusion report","Leadership can report honestly on inclusion, in aggregate and without exposing individuals.","","Sports Secretary, Faculty Coordinator","08b, 04a","P1","M","J1-E5",""
"Story","J5-E3-S1","J5-E3","J5 Leadership Reporting","4","Women's participation","As a Sports Secretary, I want women's participation figures, so that I can report on inclusion honestly.","Given gender has been captured with consent
Then I see women's participation as a count and a share, with a year-on-year delta
And a breakdown by sport
And people who chose not to disclose are reported as a separate category, never inferred or excluded silently","Sports Secretary, Faculty Coordinator","08b, 04a","P1","","",""
"Story","J5-E3-S2","J5-E3","J5 Leadership Reporting","4","First-time athletes","As a Faculty Coordinator, I want to know how many people competed for the first time, so that I can measure whether we're widening participation.","Then a person counts as first-time if they have no lifetime entry before this season
And the figure is shown with a year-on-year delta","Sports Secretary, Faculty Coordinator","08b, 04a","P1","","",""
"Story","J5-E3-S3","J5-E3","J5 Leadership Reporting","4","Representation by programme","As a Sports Secretary, I want to see which programmes are represented, so that I can spot who we're not reaching.","Then I see participants per programme as a share of that programme's membership
And programmes with zero participants are shown explicitly rather than omitted","Sports Secretary, Faculty Coordinator","08b, 04a","P1","","",""
"Story","J5-E3-S4","J5-E3","J5 Leadership Reporting","4","Individuals are never identifiable","As a Sports Secretary, I want demographic data reported only in aggregate, so that we don't expose individuals.","Then gender is never displayed against an individual anywhere in the product
And any breakdown cell below a minimum cohort size is suppressed rather than shown
And the same rule applies to scholarship status","Sports Secretary, Faculty Coordinator","08b, 04a","P1","","",""
"Story","J5-E3-S5","J5-E3","J5 Leadership Reporting","4","Scholarship athletes","As a Sports Secretary, I want to report on scholarship athletes, so that the D&I picture is complete.","Given scholarship status is recorded against a person's membership
Then I see the count with a year-on-year delta, and the share of total participants
And the figure is shown only in aggregate
And no individual is ever identified as a scholarship athlete anywhere in the product or in any export","Sports Secretary, Faculty Coordinator","08b, 04a","P1","","",""
"Epic","J4-E7","","J4 The Verified Record","5","Generate certificates in bulk","Certificates generate in bulk from verified results with immutable numbering, and recipients are told.","","Sports Secretary, Faculty Coordinator","07b, 02","P0","L","J4-E6, J4-E1",""
"Story","J4-E7-S1","J4-E7","J4 The Verified Record","5","Generate a batch","As a Faculty Coordinator, I want to generate certificates for everyone in an event at once, so that 300 certificates aren't a day of work.","Given a championship with locked results
When I generate a batch for all participants, or for winners only, or for chosen people
Then certificate records are created as queued and I get an immediate response
And generation proceeds in the background
And I can watch progress","Sports Secretary, Faculty Coordinator","07b, 02","P0","","",""
"Story","J4-E7-S2","J4-E7","J4 The Verified Record","5","Immutable, gapless numbering","As a Sports Secretary, I want every certificate uniquely and permanently numbered, so that a registrar can rely on it.","Then each issued certificate carries a number in the form CERT-{ORGCODE}-{YYYY}-{NNNNN}
And numbers are unique platform-wide
And numbers are allocated at issue, so a failed render burns no number
And concurrent generation produces no duplicates and no gaps","Sports Secretary, Faculty Coordinator","07b, 02","P0","","",""
"Story","J4-E7-S3","J4-E7","J4 The Verified Record","5","The issued register","As a Sports Secretary, I want a register of every certificate, so that I can answer ""was one issued for this student?""","Then I see player, type, event, certificate number and status of Queued, Generating, Issued, Failed or Revoked
And I can search and filter it
And failed rows show the error and can be retried","Sports Secretary, Faculty Coordinator","07b, 02","P0","","",""
"Story","J4-E7-S4","J4-E7","J4 The Verified Record","5","Recipients are told","As a Player, I want to be notified when my certificate is ready, so that I can download it.","Given my certificate is issued
Then I am notified in-app and by email
And it appears in the credentials list on my profile
And I can download it","Sports Secretary, Faculty Coordinator","07b, 02","P0","","",""
"Story","J4-E7-S5","J4-E7","J4 The Verified Record","5","Certificates freeze what they attest","As a Sports Secretary, I want a certificate to render identically in five years, so that it remains a valid document.","Then the certificate stores a frozen snapshot of name, event, result and date at issue time
And later changes to the player's name, the team or the championship name do not alter it
And the verification page displays the frozen snapshot, never a live join","Sports Secretary, Faculty Coordinator","07b, 02","P0","","",""
"Epic","J4-E8","","J4 The Verified Record","5","Public QR verification","Anyone holding a certificate can confirm it is genuine, without an account.","","Anyone","07b","P1","S","J4-E7",""
"Story","J4-E8-S1","J4-E8","J4 The Verified Record","5","Scan to verify","As anyone holding a certificate, I want to scan its QR code, so that I can confirm it is genuine.","Given a certificate with a QR code
When I scan it
Then I reach a public page needing no account
And I see player, event, result, certificate number, issuing organisation and issue date
And the page carries a clear ""Verified by Sportagon EOS"" mark","Anyone","07b","P1","","",""
"Story","J4-E8-S2","J4-E8","J4 The Verified Record","5","Revoked certificates say so","As a recruiter, I want to know if a certificate was superseded, so that I'm not misled by an out-of-date document.","Given a certificate was revoked because its result was corrected
When I scan it
Then I see it was superseded, with the date
And the page does not 404 or silently disappear","Anyone","07b","P1","","",""
"Story","J4-E8-S3","J4-E8","J4 The Verified Record","5","Verification leaks nothing","As a Sports Secretary, I want the public page limited to the certificate, so that it isn't an entry point into our data.","Then the page shows only that certificate's frozen details
And no contact details, no other results and no institution roster are exposed
And an invalid or tampered token shows a generic not-found page","Anyone","07b","P1","","",""
"Epic","J5-E4","","J5 Leadership Reporting","5","Anonymised peer benchmark","An institution can see how it compares to its peers without any peer being identifiable.","","Sports Secretary","08b","P1","M","J5-E1, J3-E1",""
"Story","J5-E4-S1","J5-E4","J5 Leadership Reporting","5","Compare against the platform","As a Sports Secretary, I want to see how we compare to similar institutions, so that I can tell the Director whether we're doing well.","Given peer benchmarking is enabled for my institution
Then I see us against the platform median and the top decile on participation rate,
     events per year, women's participation, and medals per 100 athletes
And I see our percentile on each
And no other institution is named, ranked or made identifiable","Sports Secretary","08b","P1","","",""
